DT,T,RH,AH,PT08.S1(CO)
2004-03-12 07:00:00,6.4,65.1,0.6316,1091.0
2004-03-12 08:00:00,7.3,63.1,0.6499,1587.0
2004-03-12 09:00:00,9.2,56.2,0.6561,1545.0
2004-03-12 10:00:00,13.2,41.7,0.632,1350.0
2004-03-12 11:00:00,14.3,38.4,0.6243,1263.0
2004-03-12 12:00:00,15.0,36.5,0.6195,1206.0
2004-03-12 13:00:00,16.1,34.5,0.6262,1252.0
2004-03-12 14:00:00,16.3,35.7,0.656,1287.0
2004-03-12 15:00:00,15.8,37.0,0.661,1353.0
2004-03-12 16:00:00,15.9,37.2,0.6657,1309.0
2004-03-12 17:00:00,16.9,34.3,0.6549,1274.0
2004-03-12 18:00:00,15.1,39.6,0.6766,1510.0
2004-03-12 19:00:00,14.4,43.4,0.7084,1525.0
2004-03-12 20:00:00,12.9,50.5,0.7478,1843.0
2004-03-12 21:00:00,12.1,53.3,0.7536,1598.0
2004-03-12 22:00:00,11.0,59.1,0.774,1484.0
2004-03-12 23:00:00,9.7,64.6,0.7771,1677.0
2004-03-13 00:00:00,9.5,64.1,0.7597,1280.0
2004-03-13 01:00:00,9.1,63.9,0.7423,1196.0
2004-03-13 02:00:00,8.8,63.9,0.7256,1184.0
2004-03-13 03:00:00,7.8,67.5,0.7173,1172.0
2004-03-13 04:00:00,7.0,71.1,0.7158,1147.0
2004-03-13 05:00:00,8.3,63.6,0.6982,978.0
2004-03-13 06:00:00,7.2,67.5,0.6887,1100.0
2004-03-13 07:00:00,6.3,71.9,0.6932,1112.0
2004-03-13 08:00:00,6.5,71.6,0.6945,1336.0
2004-03-13 09:00:00,9.6,59.7,0.7124,1408.0
2004-03-13 10:00:00,12.4,51.2,0.7335,1447.0
2004-03-13 11:00:00,15.6,42.2,0.7451,1542.0
2004-03-13 12:00:00,18.4,33.8,0.709,1451.0
2004-03-13 13:00:00,19.4,31.3,0.695,1328.0
2004-03-13 14:00:00,18.0,34.8,0.7127,1207.0
2004-03-13 15:00:00,18.4,33.6,0.7042,1240.0
2004-03-13 16:00:00,17.6,35.1,0.7012,1306.0
2004-03-13 17:00:00,16.7,37.8,0.7117,1326.0
2004-03-13 18:00:00,16.1,41.0,0.7451,1473.0
2004-03-13 19:00:00,15.8,42.4,0.7569,1609.0
2004-03-13 20:00:00,15.7,44.1,0.7786,1611.0
2004-03-13 21:00:00,15.3,46.8,0.8091,1621.0
2004-03-13 22:00:00,14.6,48.6,0.806,1444.0
2004-03-13 23:00:00,14.7,49.3,0.8193,1418.0
2004-03-14 00:00:00,13.9,53.6,0.8498,1534.0
2004-03-14 01:00:00,14.6,51.5,0.8536,1484.0
2004-03-14 02:00:00,12.5,58.9,0.8537,1367.0
2004-03-14 03:00:00,11.6,63.4,0.8674,1344.0
2004-03-14 04:00:00,12.1,61.1,0.8603,1130.0
2004-03-14 05:00:00,11.5,63.1,0.8533,1062.0
2004-03-14 06:00:00,11.6,62.2,0.8473,1076.0
2004-03-14 07:00:00,10.4,67.6,0.853,1028.0
2004-03-14 08:00:00,11.6,62.7,0.853,1155.0
2004-03-14 09:00:00,12.4,60.0,0.8627,1235.0
2004-03-14 10:00:00,14.5,53.1,0.8728,1332.0
2004-03-14 11:00:00,16.9,46.1,0.8789,1445.0
2004-03-14 12:00:00,19.3,38.3,0.8474,1416.0
2004-03-14 13:00:00,21.2,31.4,0.7812,1281.0
2004-03-14 14:00:00,21.4,30.2,0.7616,1207.0
2004-03-14 15:00:00,21.9,29.0,0.7525,1258.0
2004-03-14 16:00:00,22.2,28.4,0.7516,1458.0
2004-03-14 17:00:00,21.3,30.8,0.7696,1438.0
2004-03-14 18:00:00,19.7,36.7,0.8307,1478.0
2004-03-14 19:00:00,18.4,41.7,0.8732,1808.0
2004-03-14 20:00:00,17.6,46.1,0.921,1898.0
2004-03-14 21:00:00,16.7,49.6,0.932,1560.0
2004-03-14 22:00:00,16.3,51.0,0.9341,1324.0
2004-03-14 23:00:00,14.7,55.9,0.9314,1349.0
2004-03-15 00:00:00,14.8,54.7,0.9164,1239.0
2004-03-15 01:00:00,14.0,57.0,0.9094,1239.0
2004-03-15 02:00:00,13.4,61.3,0.9361,1224.0
2004-03-15 03:00:00,12.6,63.5,0.923,1078.0
2004-03-15 04:00:00,12.3,65.4,0.9351,1078.0
2004-03-15 05:00:00,11.9,67.4,0.9375,1075.0
2004-03-15 06:00:00,11.4,70.5,0.9475,1157.0
2004-03-15 07:00:00,11.3,70.2,0.9401,1314.0
2004-03-15 08:00:00,12.4,63.9,0.917,1797.0
2004-03-15 09:00:00,14.8,54.3,0.9076,1961.0
2004-03-15 10:00:00,17.4,45.6,0.8993,1771.0
2004-03-15 11:00:00,19.8,38.5,0.8801,1564.0
2004-03-15 12:00:00,22.0,34.1,0.8904,1430.0
2004-03-15 13:00:00,23.3,32.2,0.9096,1417.0
2004-03-15 14:00:00,23.9,30.0,0.8757,1400.0
2004-03-15 15:00:00,24.4,28.9,0.8736,1317.0
2004-03-15 16:00:00,24.4,29.4,0.8848,1318.0
2004-03-15 17:00:00,23.8,31.3,0.9137,1445.0
2004-03-15 18:00:00,22.5,35.4,0.9547,1917.0
2004-03-15 19:00:00,20.4,42.5,1.0086,2040.0
2004-03-15 20:00:00,18.3,52.6,1.0945,1895.0
2004-03-15 21:00:00,16.7,57.4,1.0786,1595.0
2004-03-15 22:00:00,15.7,60.2,1.0654,1439.0
2004-03-15 23:00:00,15.3,61.4,1.058,1142.0
2004-03-16 00:00:00,14.1,65.7,1.0494,1304.0
2004-03-16 01:00:00,14.8,60.6,1.0148,1074.0
2004-03-16 02:00:00,14.8,59.2,0.9879,968.0
2004-03-16 03:00:00,13.6,62.1,0.9636,929.0
2004-03-16 04:00:00,12.3,66.2,0.945,941.0
2004-03-16 05:00:00,12.8,63.2,0.9283,937.0
2004-03-16 06:00:00,11.2,68.5,0.9081,1017.0
2004-03-16 07:00:00,11.0,66.5,0.8705,1171.0
2004-03-16 08:00:00,11.7,63.7,0.8719,1541.0
2004-03-16 09:00:00,13.6,56.3,0.8743,1539.0
2004-03-16 10:00:00,17.8,42.9,0.8672,1735.0
2004-03-16 11:00:00,21.4,33.3,0.8417,1571.0
2004-03-16 12:00:00,24.4,27.4,0.8231,1452.0
2004-03-16 13:00:00,25.3,26.1,0.8264,1579.0
2004-03-16 14:00:00,25.8,23.2,0.7589,1466.0
2004-03-16 15:00:00,27.0,20.2,0.7094,1280.0
2004-03-16 16:00:00,28.2,18.6,0.7014,1407.0
2004-03-16 17:00:00,28.0,19.1,0.7098,1389.0
2004-03-16 18:00:00,23.9,25.7,0.7519,1447.0
2004-03-16 19:00:00,21.3,34.8,0.873,1551.0
2004-03-16 20:00:00,20.4,36.7,0.8704,1474.0
2004-03-16 21:00:00,19.0,41.3,0.9007,1800.0
2004-03-16 22:00:00,17.9,45.9,0.9342,1379.0
2004-03-16 23:00:00,16.7,48.9,0.9226,1201.0
2004-03-17 00:00:00,15.5,52.9,0.9271,1205.0
2004-03-17 01:00:00,15.5,51.9,0.9059,1072.0
2004-03-17 02:00:00,14.1,55.6,0.891,998.0
2004-03-17 03:00:00,13.1,57.9,0.8666,933.0
2004-03-17 04:00:00,12.7,57.9,0.8447,883.0
2004-03-17 05:00:00,11.8,58.0,0.8026,869.0
2004-03-17 06:00:00,11.9,57.4,0.7978,891.0
2004-03-17 07:00:00,9.9,65.2,0.7956,1173.0
2004-03-17 08:00:00,11.1,60.2,0.7958,1587.0
2004-03-17 09:00:00,14.1,50.0,0.802,1852.0
2004-03-17 10:00:00,17.7,40.1,0.8048,1522.0
2004-03-17 11:00:00,21.1,33.4,0.8265,1438.0
2004-03-17 12:00:00,24.3,28.3,0.8471,1393.0
2004-03-17 13:00:00,25.6,25.6,0.8254,1452.0
2004-03-17 14:00:00,25.9,25.9,0.8503,1389.0
2004-03-17 15:00:00,26.8,18.7,0.65,1207.0
2004-03-17 16:00:00,29.3,15.8,0.6309,1365.0
2004-03-17 17:00:00,28.5,14.9,0.5708,1247.0
2004-03-17 18:00:00,25.9,16.0,0.5237,1557.0
2004-03-17 19:00:00,23.1,26.5,0.7403,1973.0
2004-03-17 20:00:00,20.5,38.2,0.9133,1975.0
2004-03-17 21:00:00,19.1,42.6,0.9294,1795.0
2004-03-17 22:00:00,17.2,44.1,0.8558,1444.0
2004-03-17 23:00:00,16.0,50.9,0.9206,1488.0
2004-03-18 00:00:00,14.8,53.9,0.9024,1371.0
2004-03-18 01:00:00,14.3,55.4,0.8975,1161.0
2004-03-18 02:00:00,14.8,52.1,0.8686,1064.0
2004-03-18 03:00:00,13.9,53.9,0.8501,970.0
2004-03-18 04:00:00,11.6,61.9,0.8442,954.0
2004-03-18 05:00:00,12.0,58.9,0.8233,931.0
2004-03-18 06:00:00,10.9,62.1,0.8113,938.0
2004-03-18 07:00:00,10.6,63.3,0.8067,1166.0
2004-03-18 08:00:00,11.5,60.0,0.8117,1643.0
2004-03-18 09:00:00,14.3,50.6,0.8186,1934.0
2004-03-18 10:00:00,17.8,40.5,0.821,1617.0
2004-03-18 11:00:00,20.8,34.4,0.8365,1473.0
2004-03-18 12:00:00,23.8,28.2,0.8219,1379.0
2004-03-18 13:00:00,24.2,28.7,0.8515,1385.0
2004-03-18 14:00:00,25.2,24.9,0.7829,1379.0
2004-03-18 15:00:00,27.0,17.8,0.6275,1322.0
2004-03-18 16:00:00,27.1,23.1,0.818,1496.0
2004-03-18 17:00:00,25.8,23.9,0.7832,1409.0
2004-03-18 18:00:00,23.0,26.8,0.7446,1513.0
2004-03-18 19:00:00,20.7,31.1,0.7523,1667.0
2004-03-18 20:00:00,18.6,36.2,0.7676,1667.0
2004-03-18 21:00:00,16.0,48.4,0.8768,1430.0
2004-03-18 22:00:00,14.5,57.8,0.9456,1333.0
2004-03-18 23:00:00,13.1,64.2,0.9606,1262.0
2004-03-19 00:00:00,12.0,69.7,0.9735,1287.0
2004-03-19 01:00:00,11.9,71.1,0.9915,1134.0
2004-03-19 02:00:00,12.5,69.3,1.0029,999.0
2004-03-19 03:00:00,12.5,67.5,0.9768,961.0
2004-03-19 04:00:00,12.3,67.7,0.9665,934.0
2004-03-19 05:00:00,12.5,66.8,0.962,913.0
2004-03-19 06:00:00,12.3,66.3,0.9487,969.0
2004-03-19 07:00:00,12.4,64.9,0.9332,1182.0
2004-03-19 08:00:00,13.0,61.6,0.9209,1740.0
2004-03-19 09:00:00,13.6,58.8,0.912,1819.0
2004-03-19 10:00:00,13.9,57.1,0.9032,1427.0
2004-03-19 11:00:00,14.5,54.4,0.8917,1390.0
2004-03-19 12:00:00,15.5,50.1,0.8744,1283.0
2004-03-19 13:00:00,16.1,47.6,0.8655,1304.0
2004-03-19 14:00:00,16.3,47.1,0.864,1364.0
2004-03-19 15:00:00,16.4,47.5,0.8791,1410.0
2004-03-19 16:00:00,16.1,50.2,0.9094,1476.0
2004-03-19 17:00:00,16.0,50.7,0.9142,1522.0
2004-03-19 18:00:00,15.8,50.3,0.8989,1442.0
2004-03-19 19:00:00,15.5,50.6,0.884,1469.0
2004-03-19 20:00:00,15.4,51.4,0.8956,1467.0
2004-03-19 21:00:00,15.2,53.1,0.9117,1421.0
2004-03-19 22:00:00,14.7,57.6,0.9573,1175.0
2004-03-19 23:00:00,14.2,58.3,0.938,1215.0
2004-03-20 00:00:00,13.8,57.9,0.9085,1127.0
2004-03-20 01:00:00,13.9,55.9,0.8842,1090.0
2004-03-20 02:00:00,13.9,55.6,0.8765,1017.0
2004-03-20 03:00:00,13.8,55.1,0.8666,997.0
2004-03-20 04:00:00,13.8,54.6,0.8574,945.0
2004-03-20 05:00:00,13.6,55.1,0.856,956.0
2004-03-20 06:00:00,13.6,59.0,0.9129,966.0
2004-03-20 07:00:00,13.5,58.4,0.896,1064.0
2004-03-20 08:00:00,13.8,58.0,0.9083,1300.0
2004-03-20 09:00:00,14.6,53.1,0.8765,1348.0
2004-03-20 10:00:00,15.0,52.3,0.8881,1425.0
2004-03-20 11:00:00,15.4,52.1,0.9046,1474.0
2004-03-20 12:00:00,16.3,50.0,0.9158,1490.0
2004-03-20 13:00:00,17.1,47.9,0.9281,1495.0
2004-03-20 14:00:00,19.0,42.9,0.937,1376.0
2004-03-20 15:00:00,19.5,42.3,0.9476,1305.0
2004-03-20 16:00:00,19.5,42.3,0.9493,1283.0
2004-03-20 17:00:00,19.1,43.8,0.9556,1392.0
2004-03-20 18:00:00,18.5,46.3,0.9744,1452.0
2004-03-20 19:00:00,17.4,51.6,1.0159,1633.0
2004-03-20 20:00:00,17.1,51.3,0.9914,1625.0
2004-03-20 21:00:00,16.4,53.8,0.9964,1535.0
2004-03-20 22:00:00,16.2,55.4,1.0132,1323.0
2004-03-20 23:00:00,15.9,57.7,1.0356,1309.0
2004-03-21 00:00:00,15.7,58.6,1.0396,1456.0
2004-03-21 01:00:00,15.1,60.9,1.0398,1300.0
2004-03-21 02:00:00,15.6,56.6,0.9951,1203.0
2004-03-21 03:00:00,15.2,57.9,0.9941,1195.0
2004-03-21 04:00:00,15.4,57.8,1.0021,1117.0
2004-03-21 05:00:00,14.9,60.6,1.0196,1062.0
2004-03-21 06:00:00,14.5,63.0,1.0316,947.0
2004-03-21 07:00:00,14.2,66.2,1.063,1065.0
2004-03-21 08:00:00,14.5,65.3,1.0704,1155.0
2004-03-21 09:00:00,15.3,62.1,1.073,1220.0
2004-03-21 10:00:00,16.3,59.0,1.0868,1301.0
2004-03-21 11:00:00,18.9,49.6,1.07,1279.0
2004-03-21 12:00:00,19.4,46.1,1.0249,1267.0
2004-03-21 13:00:00,20.8,41.6,1.0091,1239.0
2004-03-21 14:00:00,21.4,40.3,1.0126,1128.0
2004-03-21 15:00:00,21.2,39.3,0.9791,1243.0
2004-03-21 16:00:00,20.3,38.0,0.8942,1208.0
2004-03-21 17:00:00,19.4,41.3,0.9206,1306.0
2004-03-21 18:00:00,18.5,43.8,0.9252,1546.0
2004-03-21 19:00:00,17.8,48.1,0.9689,1501.0
2004-03-21 20:00:00,17.9,46.9,0.952,1605.0
2004-03-21 21:00:00,17.4,49.1,0.9688,1316.0
2004-03-21 22:00:00,17.0,51.7,0.9914,1195.0
2004-03-21 23:00:00,16.4,55.1,1.0198,1211.0
2004-03-22 00:00:00,16.1,60.0,1.0919,1161.0
2004-03-22 01:00:00,15.8,60.5,1.0805,1095.0
2004-03-22 02:00:00,16.3,57.0,1.0491,897.0
2004-03-22 03:00:00,16.9,53.9,1.0309,842.0
2004-03-22 04:00:00,16.1,55.9,1.0153,854.0
2004-03-22 05:00:00,16.5,53.9,1.0049,845.0
2004-03-22 06:00:00,16.4,54.0,0.9979,942.0
2004-03-22 07:00:00,15.7,57.6,1.0195,1090.0
2004-03-22 08:00:00,15.8,53.7,0.9571,1514.0
2004-03-22 09:00:00,17.4,42.1,0.8281,1379.0
2004-03-22 10:00:00,17.9,38.4,0.7793,1074.0
2004-03-22 11:00:00,18.5,36.7,0.7764,1090.0
2004-03-22 12:00:00,21.0,29.6,0.7263,1110.0
2004-03-22 13:00:00,21.3,28.1,0.7067,1102.0
2004-03-22 14:00:00,21.3,26.1,0.6539,1100.0
2004-03-22 15:00:00,21.3,26.8,0.6681,1094.0
2004-03-22 16:00:00,21.3,24.2,0.606,1076.0
2004-03-22 17:00:00,20.2,28.5,0.6682,1152.0
2004-03-22 18:00:00,17.0,43.1,0.8264,1407.0
2004-03-22 19:00:00,15.6,47.4,0.8347,1438.0
2004-03-22 20:00:00,15.3,47.4,0.8178,1425.0
2004-03-22 21:00:00,14.5,49.7,0.8177,1279.0
2004-03-22 22:00:00,13.9,52.0,0.8231,1132.0
2004-03-22 23:00:00,14.5,49.4,0.8106,1006.0
2004-03-23 00:00:00,13.8,51.4,0.8071,982.0
2004-03-23 01:00:00,14.0,51.3,0.8163,969.0
2004-03-23 02:00:00,13.0,56.8,0.8444,941.0
2004-03-23 03:00:00,11.0,70.0,0.9215,892.0
2004-03-23 04:00:00,10.1,76.8,0.9483,855.0
2004-03-23 05:00:00,8.8,80.5,0.9147,834.0
2004-03-23 06:00:00,9.6,75.4,0.9004,909.0
2004-03-23 07:00:00,9.8,75.0,0.9093,1061.0
2004-03-23 08:00:00,10.0,74.2,0.9117,1441.0
2004-03-23 09:00:00,11.2,69.7,0.9232,1498.0
2004-03-23 10:00:00,12.0,62.9,0.8803,1343.0
2004-03-23 11:00:00,12.8,55.8,0.821,1308.0
2004-03-23 12:00:00,13.1,54.8,0.8234,1209.0
2004-03-23 13:00:00,13.8,53.4,0.8351,1310.0
2004-03-23 14:00:00,16.0,42.4,0.7674,1171.0
2004-03-23 15:00:00,14.1,49.8,0.7971,1112.0
2004-03-23 16:00:00,12.0,61.1,0.8537,1132.0
2004-03-23 17:00:00,13.6,54.6,0.8465,1225.0
2004-03-23 18:00:00,13.7,49.5,0.7695,1065.0
2004-03-23 19:00:00,11.7,57.1,0.7822,1236.0
2004-03-23 20:00:00,11.5,58.2,0.7867,1309.0
2004-03-23 21:00:00,12.6,54.2,0.7881,1089.0
2004-03-23 22:00:00,12.0,54.9,0.7664,1000.0
2004-03-23 23:00:00,11.0,61.4,0.8057,1041.0
2004-03-24 00:00:00,11.1,62.2,0.8199,1045.0
2004-03-24 01:00:00,10.8,62.5,0.8082,997.0
2004-03-24 02:00:00,11.3,60.0,0.8025,948.0
2004-03-24 03:00:00,10.6,61.6,0.7856,878.0
2004-03-24 04:00:00,10.2,62.7,0.7813,908.0
2004-03-24 05:00:00,10.9,58.6,0.7628,892.0
2004-03-24 06:00:00,10.8,57.2,0.7382,954.0
2004-03-24 07:00:00,10.4,59.2,0.7455,1045.0
2004-03-24 08:00:00,11.0,57.3,0.7501,1383.0
2004-03-24 09:00:00,11.2,56.9,0.7565,1597.0
2004-03-24 10:00:00,12.1,54.9,0.7734,1318.0
2004-03-24 11:00:00,15.1,44.3,0.7535,1138.0
2004-03-24 12:00:00,15.6,40.6,0.7146,1098.0
2004-03-24 13:00:00,16.9,34.6,0.6597,1118.0
2004-03-24 14:00:00,16.6,35.6,0.6697,1170.0
2004-03-24 15:00:00,11.3,63.9,0.8554,1112.0
2004-03-24 16:00:00,9.6,81.1,0.972,1390.0
2004-03-24 17:00:00,11.7,69.1,0.9497,1353.0
2004-03-24 18:00:00,10.7,68.5,0.8794,1260.0
2004-03-24 19:00:00,10.7,67.3,0.8643,1501.0
2004-03-24 20:00:00,10.8,65.7,0.8486,1273.0
2004-03-24 21:00:00,10.3,66.3,0.8336,1179.0
2004-03-24 22:00:00,10.1,66.9,0.8248,1047.0
2004-03-24 23:00:00,10.4,61.1,0.7717,973.0
2004-03-25 00:00:00,10.3,59.9,0.7516,997.0
2004-03-25 01:00:00,11.0,58.4,0.7686,970.0
2004-03-25 02:00:00,9.1,68.1,0.789,902.0
2004-03-25 03:00:00,9.5,68.2,0.8091,921.0
2004-03-25 04:00:00,9.3,72.3,0.8496,858.0
2004-03-25 05:00:00,9.9,66.8,0.8152,878.0
2004-03-25 06:00:00,7.6,83.2,0.8695,893.0
2004-03-25 07:00:00,8.1,79.0,0.8544,1038.0
2004-03-25 08:00:00,8.7,74.6,0.8429,1320.0
2004-03-25 09:00:00,8.6,75.1,0.8415,1353.0
2004-03-25 10:00:00,9.7,69.7,0.8389,1133.0
2004-03-25 11:00:00,11.0,64.4,0.8447,1066.0
2004-03-25 12:00:00,13.6,53.0,0.8209,1027.0
2004-03-25 13:00:00,14.2,48.4,0.778,1106.0
2004-03-25 14:00:00,14.2,46.3,0.7438,1038.0
2004-03-25 15:00:00,16.0,41.3,0.7462,1084.0
2004-03-25 16:00:00,17.7,35.4,0.7094,1105.0
2004-03-25 17:00:00,17.1,37.4,0.7225,1102.0
2004-03-25 18:00:00,14.9,40.5,0.6835,1240.0
2004-03-25 19:00:00,13.4,47.8,0.7293,1443.0
2004-03-25 20:00:00,12.6,52.5,0.7642,1389.0
2004-03-25 21:00:00,12.2,53.2,0.7555,1183.0
2004-03-25 22:00:00,10.6,56.1,0.714,1014.0
2004-03-25 23:00:00,9.9,59.5,0.7276,979.0
2004-03-26 00:00:00,9.6,61.1,0.7323,1048.0
2004-03-26 01:00:00,9.7,61.6,0.7425,1024.0
2004-03-26 02:00:00,9.4,62.6,0.7398,974.0
2004-03-26 03:00:00,8.2,68.5,0.7455,862.0
2004-03-26 04:00:00,8.0,69.4,0.7459,925.0
2004-03-26 05:00:00,7.7,72.4,0.7655,952.0
2004-03-26 06:00:00,8.0,71.8,0.7711,1005.0
2004-03-26 07:00:00,8.5,66.3,0.7375,1122.0
2004-03-26 08:00:00,9.8,59.6,0.7214,1351.0
2004-03-26 09:00:00,11.2,57.0,0.7544,1408.0
2004-03-26 10:00:00,14.8,44.1,0.7407,1304.0
2004-03-26 11:00:00,16.8,35.3,0.6729,1207.0
2004-03-26 12:00:00,19.2,27.1,0.5976,1099.0
2004-03-26 13:00:00,19.1,26.2,0.5741,1106.0
2004-03-26 14:00:00,16.3,30.8,0.5683,1009.0
2004-03-26 15:00:00,14.2,36.8,0.5922,962.0
2004-03-26 16:00:00,13.4,41.0,0.6292,1093.0
2004-03-26 17:00:00,14.2,43.3,0.6982,1180.0
2004-03-26 18:00:00,12.1,45.6,0.6403,1168.0
2004-03-26 19:00:00,10.4,48.0,0.6046,1168.0
2004-03-26 20:00:00,10.0,51.1,0.628,1140.0
2004-03-26 21:00:00,9.8,50.8,0.6172,1001.0
2004-03-26 22:00:00,9.7,50.4,0.6063,953.0
2004-03-26 23:00:00,9.9,50.2,0.6103,972.0
2004-03-27 00:00:00,9.4,53.4,0.63,1021.0
2004-03-27 01:00:00,8.6,57.8,0.6488,940.0
2004-03-27 02:00:00,8.1,62.1,0.6746,1046.0
2004-03-27 03:00:00,7.9,63.5,0.6777,1026.0
2004-03-27 04:00:00,7.4,64.8,0.6683,983.0
2004-03-27 05:00:00,8.2,58.9,0.6444,915.0
2004-03-27 06:00:00,6.3,66.6,0.641,935.0
2004-03-27 07:00:00,7.2,62.9,0.6396,976.0
2004-03-27 08:00:00,7.2,63.9,0.65,1124.0
2004-03-27 09:00:00,11.1,50.5,0.6654,1163.0
2004-03-27 10:00:00,15.5,36.1,0.6313,1167.0
2004-03-27 11:00:00,17.8,29.2,0.592,1121.0
2004-03-27 12:00:00,17.6,30.1,0.6013,1071.0
2004-03-27 13:00:00,19.1,26.8,0.5861,1065.0
2004-03-27 14:00:00,17.7,28.6,0.5735,1157.0
2004-03-27 15:00:00,17.8,28.4,0.5737,1046.0
2004-03-27 16:00:00,18.7,26.0,0.5555,1147.0
2004-03-27 17:00:00,17.1,31.3,0.6038,1119.0
2004-03-27 18:00:00,15.8,36.1,0.644,1210.0
2004-03-27 19:00:00,14.7,40.1,0.6657,1306.0
2004-03-27 20:00:00,13.6,44.9,0.6991,1258.0
2004-03-27 21:00:00,12.5,48.1,0.6946,1148.0
2004-03-27 22:00:00,11.8,50.8,0.7042,1108.0
2004-03-27 23:00:00,10.9,56.1,0.7326,1231.0
2004-03-28 00:00:00,10.9,55.9,0.7277,1293.0
2004-03-28 01:00:00,10.3,58.1,0.7278,1274.0
2004-03-28 02:00:00,9.3,62.2,0.7294,1135.0
2004-03-28 03:00:00,8.2,66.7,0.7276,1151.0
2004-03-28 04:00:00,8.3,64.9,0.7124,1010.0
2004-03-28 05:00:00,9.6,58.5,0.7,870.0
2004-03-28 06:00:00,7.7,66.4,0.699,983.0
2004-03-28 07:00:00,7.4,68.0,0.7043,995.0
2004-03-28 08:00:00,9.7,58.6,0.7035,1024.0
2004-03-28 09:00:00,12.5,50.1,0.7242,1163.0
2004-03-28 10:00:00,16.8,36.9,0.7018,1218.0
2004-03-28 11:00:00,19.2,31.3,0.6887,1210.0
2004-03-28 12:00:00,21.3,26.4,0.6607,1114.0
2004-03-28 13:00:00,21.2,23.1,0.5768,995.0
2004-03-28 14:00:00,18.6,25.0,0.5319,927.0
2004-03-28 15:00:00,18.0,27.3,0.5594,1002.0
2004-03-28 16:00:00,18.2,28.3,0.5848,987.0
2004-03-28 17:00:00,17.0,31.4,0.6048,993.0
2004-03-28 18:00:00,15.6,35.0,0.617,1012.0
2004-03-28 19:00:00,14.1,40.2,0.6438,1114.0
2004-03-28 20:00:00,13.4,43.2,0.6623,1093.0
2004-03-28 21:00:00,12.3,46.8,0.6686,968.0
2004-03-28 22:00:00,11.9,46.5,0.6449,960.0
2004-03-28 23:00:00,11.5,46.6,0.6319,942.0
2004-03-29 00:00:00,10.6,48.0,0.6135,888.0
2004-03-29 01:00:00,10.7,45.8,0.5895,818.0
2004-03-29 02:00:00,10.4,46.6,0.5901,840.0
2004-03-29 03:00:00,10.1,47.8,0.5913,894.0
2004-03-29 04:00:00,11.3,46.9,0.628,864.0
2004-03-29 05:00:00,10.1,51.2,0.6341,898.0
2004-03-29 06:00:00,9.9,50.7,0.6167,946.0
2004-03-29 07:00:00,8.1,56.8,0.615,1309.0
2004-03-29 08:00:00,10.9,44.1,0.5748,1326.0
2004-03-29 09:00:00,11.8,37.6,0.5184,966.0
2004-03-29 10:00:00,13.9,33.2,0.5222,975.0
2004-03-29 11:00:00,15.6,30.1,0.5285,988.0
2004-03-29 12:00:00,16.5,29.0,0.5406,971.0
2004-03-29 13:00:00,17.5,27.9,0.5517,1010.0
2004-03-29 14:00:00,17.9,26.8,0.5446,984.0
2004-03-29 15:00:00,18.2,26.1,0.5387,962.0
